setup (ms),inference (ms),proving (ms),verifying (ms),proof size (KB),accuracy (bool)
200,6,279,21,5826.508,0
164,6,274,20,5825.979,0
164,5,270,20,5826.190,1
164,5,274,20,5826.069,0
164,5,275,20,5825.952,0
164,5,275,20,5826.098,1
164,5,276,20,5826.256,0
164,6,275,20,5826.049,1
164,5,279,21,5826.155,1
164,5,282,20,5826.095,1
164,7,285,20,5826.086,0
166,7,278,20,5825.979,0
166,6,273,20,5826.190,1
166,5,273,20,5826.069,0
166,5,279,20,5825.952,0
166,6,278,21,5826.098,1
166,6,277,19,5826.256,0
166,6,279,20,5826.049,1
166,5,278,21,5826.155,1
166,6,282,19,5826.095,1
166,5,278,20,5826.086,0
